,test,samp_size,md,wght,acc,recall,pre
41,0.1,50,85,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
42,0.1,50,85,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
43,0.1,50,85,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
44,0.1,50,110,0.0,0.1185726327620118,1.0,0.1185726327620118
45,0.1,50,110,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
46,0.1,50,110,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
47,0.1,50,110,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
48,0.1,50,110,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
49,0.1,50,110,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
50,0.1,50,110,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
51,0.1,50,110,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
52,0.1,50,110,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
53,0.1,50,110,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
54,0.1,50,110,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
55,0.1,50,135,0.0,0.1185726327620118,1.0,0.1185726327620118
56,0.1,50,135,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
57,0.1,50,135,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
58,0.1,50,135,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
59,0.1,50,135,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
60,0.1,50,135,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
61,0.1,50,135,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
62,0.1,50,135,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
63,0.1,50,135,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
64,0.1,50,135,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
65,0.1,50,135,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
66,0.1,50,160,0.0,0.1185726327620118,1.0,0.1185726327620118
67,0.1,50,160,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
68,0.1,50,160,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
69,0.1,50,160,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
70,0.1,50,160,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
71,0.1,50,160,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
72,0.1,50,160,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
73,0.1,50,160,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
74,0.1,50,160,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
75,0.1,50,160,0.45,0.8746838999719022,0.48104265402843605,0.4720930232558139
76,0.1,50,160,0.5,0.8828322562517561,0.4549763033175355,0.5065963060686016
77,0.1,50,185,0.0,0.1185726327620118,1.0,0.1185726327620118
78,0.1,50,185,0.05,0.6229277887046923,0.7132701421800948,0.19776609724047306
79,0.1,50,185,0.1,0.6973869064343917,0.7037914691943128,0.2377902321857486
80,0.1,50,185,0.15000000000000002,0.7667884237145266,0.6421800947867299,0.28526315789473683
81,0.1,50,185,0.2,0.8083731385220567,0.5947867298578199,0.3293963254593176
82,0.1,50,185,0.25,0.8182073616184321,0.5734597156398105,0.34132581100141046
83,0.1,50,185,0.30000000000000004,0.8544534981736442,0.533175355450237,0.41208791208791207
84,0.1,50,185,0.35000000000000003,0.8595110986232087,0.4881516587677725,0.4204081632653061
85,0.1,50,185,0.4,0.8685023883113234,0.4928909952606635,0.45021645021645024
